ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300045.SZ,20241122,26.4,26.4,24.8,24.89,26.65,-1.76,-6.6041,365856.55,939352.415
300045.SZ,20241121,25.8,26.98,25.67,26.65,25.79,0.86,3.3346,467316.58,1226327.077
300045.SZ,20241120,25.39,26.08,25.21,25.79,25.5,0.29,1.1373,283479.7,730153.752
300045.SZ,20241119,24.79,25.5,24.58,25.5,24.86,0.64,2.5744,275351.26,690564.067
300045.SZ,20241118,26.1,26.45,24.5,24.86,26.1,-1.24,-4.751,339449,850390.987
300045.SZ,20241115,27.1,27.45,26,26.1,27,-0.9,-3.3333,324427.99,869182.27
300045.SZ,20241114,28.03,28.26,26.99,27,28.31,-1.31,-4.6273,337943.7,930860.332
300045.SZ,20241113,28.45,28.64,27.59,28.31,28.72,-0.41,-1.4276,360112.15,1009824.607
300045.SZ,20241112,29.1,29.8,28.3,28.72,29.42,-0.7,-2.3793,611607.55,1770854.379
300045.SZ,20241111,30.15,30.6,28.33,29.42,28.86,0.56,1.9404,865325.3,2533993.733
300045.SZ,20241108,27.38,29.48,27.38,28.86,27.28,1.58,5.7918,981247.87,2822143.187
300045.SZ,20241107,26.97,27.95,26.62,27.28,27.36,-0.08,-0.2924,494347.03,1341321.206
300045.SZ,20241106,27.7,28.1,26.8,27.36,27.34,0.02,0.0732,728018.78,2004465.175
300045.SZ,20241105,26.05,28.18,25.88,27.34,26.06,1.28,4.9117,723532.09,1957518.671
300045.SZ,20241104,25.01,26.12,25.01,26.06,25.25,0.81,3.2079,476493.96,1223065.349
300045.SZ,20241101,27.81,28.11,25.25,25.25,28.25,-3,-10.6195,853163.87,2236356.762
300045.SZ,20241031,28,28.85,27.28,28.25,28.36,-0.11,-0.3879,757385.72,2130969.735
300045.SZ,20241030,28.92,29.52,28,28.36,30.06,-1.7,-5.6554,933073.64,2669669.06
300045.SZ,20241029,28.7,30.99,28.36,30.06,28.74,1.32,4.5929,1101004.44,3285644.42
300045.SZ,20241028,29.11,29.14,28.33,28.74,29.02,-0.28,-0.9649,589897.39,1690495.73
300045.SZ,20241025,28.72,29.98,28.22,29.02,28.22,0.8,2.8349,844027.16,2459664.196
300045.SZ,20241024,28.06,28.75,27.8,28.22,28.96,-0.74,-2.5552,704219.17,1981863.215
300045.SZ,20241023,29.38,31.88,28.76,28.96,30.11,-1.15,-3.8193,1124404.05,3416616.18
300045.SZ,20241022,31,31.67,29.19,30.11,32.7,-2.59,-7.9205,1336641.87,4079525.92
300045.SZ,20241021,29,33.67,28.45,32.7,28.09,4.61,16.4115,1735468.06,5398026.779
300045.SZ,20241018,26.8,31,26.26,28.09,27.03,1.06,3.9216,1578864.9,4344162.563
300045.SZ,20241017,25.31,28.33,25.21,27.03,25.9,1.13,4.3629,1757818.11,4733653.93
300045.SZ,20241016,27,28.5,24.88,25.9,27.04,-1.14,-4.216,1919807.43,5121866.805
300045.SZ,20241015,22.9,27.04,22.31,27.04,22.53,4.51,20.0178,1532512.64,3968901.915
300045.SZ,20241014,20.8,22.56,20.64,22.53,20.62,1.91,9.2629,678586.05,1466590.715
300045.SZ,20241011,21.9,21.9,20.24,20.62,22.08,-1.46,-6.6123,472563.91,987489.963
300045.SZ,20241010,23.06,23.94,21.48,22.08,23.02,-0.94,-4.0834,673156.37,1512211.444
300045.SZ,20241009,25.02,25.7,23,23.02,25.91,-2.89,-11.154,935571.57,2292350.997
300045.SZ,20241008,25.91,25.91,23.32,25.91,21.59,4.32,20.0093,1014217.11,2562227.157
300045.SZ,20240930,19.24,21.9,19.16,21.59,18.28,3.31,18.1072,853137.71,1753032.649
300045.SZ,20240927,17.3,18.61,17.3,18.28,17.13,1.15,6.7134,500274.43,899091.867
300045.SZ,20240926,16.68,17.16,16.66,17.13,16.81,0.32,1.9036,329803.82,558290.115
300045.SZ,20240925,16.46,17.3,16.41,16.81,16.46,0.35,2.1264,430787.99,727772.122
300045.SZ,20240924,16.26,16.52,15.72,16.46,16.18,0.28,1.7305,292335.19,473994.986
300045.SZ,20240923,15.81,16.48,15.81,16.18,15.9,0.28,1.761,218409.4,354703.058
300045.SZ,20240920,15.76,16.1,15.72,15.9,15.63,0.27,1.7274,204386.81,325855.438
300045.SZ,20240919,15.6,15.79,15.36,15.63,15.42,0.21,1.3619,124420.4,194104.928
300045.SZ,20240918,15.48,15.67,15.07,15.42,15.48,-0.06,-0.3876,99359.4,152566.28
300045.SZ,20240913,15.89,16.01,15.45,15.48,15.87,-0.39,-2.4575,119922,187834.724
300045.SZ,20240912,16.25,16.26,15.86,15.87,16.1,-0.23,-1.4286,111073,178464.352
300045.SZ,20240911,16.01,16.18,15.92,16.1,16.13,-0.03,-0.186,96540.78,155006.969
300045.SZ,20240910,15.93,16.21,15.67,16.13,15.83,0.3,1.8951,129043.12,205767.153
300045.SZ,20240909,16.05,16.17,15.75,15.83,16.03,-0.2,-1.2477,117644.03,187204.265
300045.SZ,20240906,16.45,16.73,16.02,16.03,16.59,-0.56,-3.3755,186628.49,303659.947
300045.SZ,20240905,16.3,16.97,16.28,16.59,16.47,0.12,0.7286,210714.05,351177.546
300045.SZ,20240904,16.7,16.95,16.41,16.47,16.99,-0.52,-3.0606,288627.15,478827.348
300045.SZ,20240903,16.12,16.99,16.1,16.99,16.26,0.73,4.4895,371940.19,619309.766
300045.SZ,20240902,16.72,16.82,16.22,16.26,16.5,-0.24,-1.4545,196045.32,323376.056
300045.SZ,20240830,16.12,16.79,16.12,16.5,16.12,0.38,2.3573,235767.36,390659.72
300045.SZ,20240829,15.75,16.36,15.55,16.12,15.83,0.29,1.832,165206.94,264321.131
300045.SZ,20240828,15.58,15.91,15.38,15.83,15.7,0.13,0.828,128930.26,202106.264
300045.SZ,20240827,16.16,16.21,15.69,15.7,16.27,-0.57,-3.5034,143166.26,227152.839
300045.SZ,20240826,16.4,16.64,16.19,16.27,16.54,-0.27,-1.6324,163684.7,267735.31
300045.SZ,20240823,16.04,16.8,15.74,16.54,16.01,0.53,3.3104,293528.06,480215.338
300045.SZ,20240822,16.3,16.5,16,16.01,16.28,-0.27,-1.6585,135350.6,219540.009
300045.SZ,20240821,16.45,16.68,16.27,16.28,16.56,-0.28,-1.6908,111350,183002.904
300045.SZ,20240820,16.85,16.86,16.5,16.56,16.93,-0.37,-2.1855,136276.01,226606.601
300045.SZ,20240819,16.6,17.13,16.54,16.93,16.71,0.22,1.3166,175110,295816.543
300045.SZ,20240816,17.1,17.25,16.7,16.71,16.93,-0.22,-1.2995,172430.64,292939.306
300045.SZ,20240815,16.72,17.25,16.56,16.93,16.82,0.11,0.654,168116.2,284851.467
300045.SZ,20240814,16.79,17.05,16.65,16.82,16.85,-0.03,-0.178,136655.15,230370.481
300045.SZ,20240813,16.64,16.85,16.51,16.85,16.55,0.3,1.8127,127704.02,213043.171
300045.SZ,20240812,16.88,17.03,16.42,16.55,17.03,-0.48,-2.8186,170843,283475.249
300045.SZ,20240809,17.24,17.92,17,17.03,17.12,-0.09,-0.5257,236369.04,410120.69
300045.SZ,20240808,18.22,18.37,17.12,17.12,18.45,-1.33,-7.2087,417280,728633.158
300045.SZ,20240807,17.86,18.84,17.7,18.45,17.59,0.86,4.8891,517954,952056.966
300045.SZ,20240806,17.55,17.85,17.25,17.59,17.22,0.37,2.1487,240432.27,420684.994
300045.SZ,20240805,17.88,18.6,17.21,17.22,18.06,-0.84,-4.6512,357984.02,643337.812
300045.SZ,20240802,18.41,18.93,18.05,18.06,18.65,-0.59,-3.1635,359068.04,662178.818
300045.SZ,20240801,18.56,18.97,18.46,18.65,18.48,0.17,0.9199,416754.43,781147.422
300045.SZ,20240731,18.2,18.66,17.99,18.48,18.2,0.28,1.5385,441878.9,809633.038
300045.SZ,20240730,17.75,18.4,17.43,18.2,17.92,0.28,1.5625,402658.99,725629.145
300045.SZ,20240729,17.74,17.99,17.5,17.92,17.74,0.18,1.0147,327709.89,583021.862
300045.SZ,20240726,16.13,18.18,16.13,17.74,16.24,1.5,9.2365,521743.66,908608.116
300045.SZ,20240725,16.18,16.43,15.8,16.24,16.33,-0.09,-0.5511,131889.95,212926.801
300045.SZ,20240724,16.51,16.98,16.27,16.33,16.8,-0.47,-2.7976,158942,263694.312
300045.SZ,20240723,17.3,17.39,16.8,16.8,17.35,-0.55,-3.17,163891.29,278760.96
300045.SZ,20240722,17.29,17.75,17.27,17.35,17.29,0.06,0.347,160695.76,280271.896
300045.SZ,20240719,17.2,17.55,17.02,17.29,17.17,0.12,0.6989,164306.99,284339.395
300045.SZ,20240718,17.01,17.3,16.7,17.17,17.33,-0.16,-0.9233,229140.29,389426.292
300045.SZ,20240717,17.83,18.18,17.33,17.33,17.98,-0.65,-3.6151,287946.98,512138.555
300045.SZ,20240716,17.8,18.19,17.64,17.98,18.01,-0.03,-0.1666,319920.48,573944.274
300045.SZ,20240715,17.81,18.91,17.81,18.01,17.55,0.46,2.6211,464639.42,849610.976
